record_type,api_well_number,paleo_report_id,total_reports_for_api,surface_area,surface_block,lease_number,well_name,public_information_code,public_release_date,paleo_effective_date,paleo_report_source,paleo_reporter,drilling_operator,high_sample,low_sample,ecozone_eq_mms,first_sample_examined,borehole_measured_depth,true_vertical_depth,rkb_elevation,water_depth,surface_x_coordinate,surface_y_coordinate,surface_latitude,surface_longitude,remarks,source_file,source_line
H,608054001600,2,2,AC,13,G20819,001,Y,2007-10-19,2001-09-27,OPERATOR,"PALEO-DATA, INC.",PIONEER NATURAL RESOURCES USA INC,7030.0,7873.0,Y,7030.0,7873.0,7873.0,80.0,4946.0,893507.0,9788731.0,26.95735633,-95.29332308,"Argo Prospect, foram species abundance and diversity chart available, see report for details",gepaldmp_Header.txt,1
H,608054001600,3,2,AC,13,G20819,001,Y,2007-10-19,2001-09-27,OPERATOR,"PALEO-DATA, INC.",PIONEER NATURAL RESOURCES USA INC,7030.0,7873.0,,7030.0,7873.0,7873.0,80.0,4946.0,893507.0,9788731.0,26.95735633,-95.29332308,"Argo Prospect, calcareous nannofossil report, nannospecies abundance and diversity chart available, see report for details",gepaldmp_Header.txt,2
H,608054000200,1,1,AC,25,G10380,001,Y,2007-03-01,1997-02-01,OPERATOR,OPERATOR,EXXON MOBIL CORPORATION,7350.0,13980.0,,7350.0,13030.0,13026.0,86.0,4795.0,1086513.0,9778876.0,26.93863959,-94.70055467,"Hoover Prospect, company-integrated foram and nanno report, nannospecies abundance and diversity chart available, see report for details",gepaldmp_Header.txt,3
H,608054000270,1,2,AC,25,G10380,001,Y,2007-02-20,1997-02-01,OPERATOR,APPLIED BIOSTRATIGRAPHIX,EXXON MOBIL CORPORATION,12255.0,13980.0,Y,12255.0,13991.0,13990.0,86.0,4795.0,1086513.0,9778876.0,26.93863959,-94.70055467,"Hoover Prospect, foram species abundance and diversity chart available, see report for details",gepaldmp_Header.txt,4
H,608054000270,2,2,AC,25,G10380,001,Y,2007-02-20,1997-02-01,OPERATOR,OPERATOR,EXXON MOBIL CORPORATION,12255.0,13980.0,,12255.0,13991.0,13990.0,86.0,4795.0,1086513.0,9778876.0,26.93863959,-94.70055467,"Hoover Prospect, company-integrated foram and nanno report, nannospecies abundance and diversity chart available, see report for details",gepaldmp_Header.txt,5
H,608054000300,1,1,AC,65,G09249,SS001,Y,2007-04-23,1997-04-01,OPERATOR,OPERATOR,EXXON MOBIL CORPORATION,6788.0,17000.0,,6788.0,17000.0,16427.0,86.0,4852.0,1019555.0,9767940.0,26.9059328,-94.90553196,"South Diana Prospect, consultant-integrated foram and nanno report, 14760=common Globigerina spp, 14790=Bulimina jarvisi",gepaldmp_Header.txt,6
H,608054000301,1,1,AC,65,G09249,SS001,Y,2007-05-19,1997-05-01,OPERATOR,APPLIED BIOSTRATIGRAPHIX,EXXON MOBIL CORPORATION,11100.0,12180.0,Y,11100.0,12180.0,11227.0,86.0,4852.0,1019555.0,9767940.0,26.9059328,-94.90553196,South Diana Prospect,gepaldmp_Header.txt,7
H,608054000370,1,2,AC,65,G09249,SS001,Y,2016-05-19,1997-05-01,OPERATOR,APPLIED BIOSTRATIGRAPHIX,EXXON MOBIL CORPORATION,12180.0,15570.0,Y,12180.0,15581.0,15152.0,86.0,4852.0,1019555.0,9767940.0,26.9059328,-94.90553196,Diana Prospect,gepaldmp_Header.txt,8
H,608054000370,2,2,AC,65,G09249,SS001,Y,2016-05-19,1997-04-01,OPERATOR,OPERATOR,EXXON MOBIL CORPORATION,12180.0,15570.0,,12180.0,15581.0,15152.0,86.0,4852.0,1019555.0,9767940.0,26.9059328,-94.90553196,"South Diana Prospect, calcareous nannofossil report",gepaldmp_Header.txt,9
H,608054001400,1,2,AC,195,G20831,001,Y,2008-10-31,2000-09-20,OPERATOR,"PALEO-DATA, INC.",HESS CORPORATION,6940.0,10853.0,Y,6940.0,10853.0,9999.0,82.0,5253.0,982562.0,9717037.0,26.76435245,-95.01653281,"Heaton Hall Prospect, foram species abundance and diversity chart available, see report for details",gepaldmp_Header.txt,10
H,608054001400,2,2,AC,195,G20831,001,Y,2008-10-31,2000-09-20,OPERATOR,"PALEO-DATA, INC.",HESS CORPORATION,6940.0,10853.0,N,6940.0,10853.0,9999.0,82.0,5253.0,982562.0,9717037.0,26.76435245,-95.01653281,"Heaton Hall Prospect, calcareous nannofossil report, nannospecies abundance and diversity chart available, see report for details",gepaldmp_Header.txt,11
H,608054000400,1,1,AC,200,G15964,001,Y,2005-10-31,1998-06-30,OPERATOR,OPERATOR,EXXON MOBIL CORPORATION,6780.0,10620.0,Y,6780.0,10630.0,10630.0,48.0,5088.0,1062761.0,9721495.0,26.77990017,-94.77098881,"Bohemia Prospect, company-integrated foram and nanno report, foram and nannofossil species abundance and diversity charts available, see report for details",gepaldmp_Header.txt,12
H,608054008600,1,3,AC,380,G32954,001,Y,2026-04-21,2019-03-02,OPERATOR,"BUGWARE, INC.",SHELL OFFSHORE INC.,15970.0,16660.0,,15970.0,24672.0,24544.0,102.0,6210.0,1133120.613231,9650100.442694,26.58601597,-94.55268354,"Blacktip Prospect, calcareous nannofossil report",gepaldmp_Header.txt,13
H,608054008600,2,3,AC,380,G32954,001,Y,2026-04-21,2019-03-07,OPERATOR,PetroStrat Ltd,SHELL OFFSHORE INC.,20100.0,25000.0,,20100.0,24672.0,24544.0,102.0,6210.0,1133120.613231,9650100.442694,26.58601597,-94.55268354,"Blacktip Prospect, palynomorph report",gepaldmp_Header.txt,14
H,608054008600,3,3,AC,380,G32954,001,Y,2026-04-21,2019-07-11,OPERATOR,ALS Reservoir Lab (Ellington and Asso,SHELL OFFSHORE INC.,15950.0,24672.0,,15950.0,24672.0,24544.0,102.0,6210.0,1133120.613231,9650100.442694,26.58601597,-94.55268354,"Blacktip Prospect, consultant-integrated foram, nanno, radiolarian and palynologic report",gepaldmp_Header.txt,15
H,608054008601,1,2,AC,380,G32954,001,Y,2026-04-21,2019-08-30,OPERATOR,ALS Reservoir Lab (Ellington and Asso,SHELL OFFSHORE INC.,16000.0,20650.0,,16000.0,20665.0,20048.0,102.0,6210.0,1133120.613231,9650100.442694,26.58601597,-94.55268354,"Blacktip Prospect, calcareous nannofossil report",gepaldmp_Header.txt,16
H,608054008601,2,2,AC,380,G32954,001,Y,2026-04-21,2019-10-02,OPERATOR,PetroStrat Ltd,SHELL OFFSHORE INC.,15950.0,20665.0,,15950.0,20665.0,20048.0,102.0,6210.0,1133120.613231,9650100.442694,26.58601597,-94.55268354,"Blacktip Prospect, palynomorph report",gepaldmp_Header.txt,17
H,608054009300,1,2,AC,380,G32954,002,Y,2026-04-21,2020-10-07,OPERATOR,Bruce DeSelle,SHELL OFFSHORE INC.,19100.0,22569.0,Y,19100.0,22569.0,22340.0,46.0,5298.0,1131572.291942,9655134.149775,26.59981281,-94.55760857,Blacktip Prospect,gepaldmp_Header.txt,18
H,608054009300,2,2,AC,380,G32954,002,Y,2026-04-21,2021-06-07,OPERATOR,OPERATOR,SHELL OFFSHORE INC.,19100.0,22530.0,,19100.0,22569.0,22340.0,46.0,5298.0,1131572.291942,9655134.149775,26.59981281,-94.55760857,"Blacktip Prospect, foram, calcareous nannofossil and palynologic report",gepaldmp_Header.txt,19
H,608054009301,1,1,AC,380,G32954,002,Y,2026-04-21,2023-11-29,OPERATOR,"PALEO-DATA, INC.",LLOG EXPLORATION OFFSHORE LLC,19140.0,22812.0,,19140.0,22812.0,21022.0,82.0,5298.0,1131572.291942,9655134.149775,26.59981281,-94.55760857,"Blacktip Prospect, consultant-integrated foram, nanno and radiolarian report",gepaldmp_Header.txt,20
